date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2025-10-12,2025,10,12,Middle East,UAE,Chronic,Amlodipine,0-12,328,45.38,4774,466,0
2020-09-15,2020,9,15,South Asia,India,Chronic,Amlodipine,26-45,371,75.49,4584,181,1
2020-02-26,2020,2,26,Middle East,UAE,Vitamin,Vitamin C,0-12,948,22.51,3934,556,1
2025-11-09,2025,11,9,South Asia,Sri Lanka,Chronic,Amlodipine,0-12,275,63.29,4544,330,0
2022-04-04,2022,4,4,South America,Argentina,Chronic,Amlodipine,26-45,563,44.28,4284,590,0
2021-02-19,2021,2,19,South America,Argentina,Chronic,Metformin,26-45,642,80.61,4372,108,1
2023-08-13,2023,8,13,South America,Argentina,Antibiotic,Azithromycin,65+,243,15.81,4701,221,0
2023-05-21,2023,5,21,North America,Canada,Chronic,Metformin,13-25,273,50.79,4613,362,0
2024-08-13,2024,8,13,Oceania,New Zealand,Cough_Cold,Cough Syrup,46-65,223,90.92,4757,621,0
2022-11-04,2022,11,4,South Asia,India,Chronic,Amlodipine,65+,369,68.47,4524,174,0
2023-10-20,2023,10,20,Middle East,Saudi Arabia,Antibiotic,Azithromycin,13-25,130,76.03,4976,319,0
2025-12-26,2025,12,26,Africa,Nigeria,Chronic,Amlodipine,46-65,265,52.64,4562,424,0
2024-11-21,2024,11,21,North America,Canada,Antibiotic,Azithromycin,0-12,294,86.02,4663,523,0
2022-08-08,2022,8,8,Africa,Nigeria,Chronic,Amlodipine,26-45,265,73.48,4596,242,0
2020-05-12,2020,5,12,Africa,Nigeria,Vitamin,Vitamin C,13-25,873,67.85,4301,226,1
2020-11-09,2020,11,9,Oceania,Australia,Vitamin,Vitamin C,26-45,402,86.18,4797,131,1
2025-12-20,2025,12,20,Europe,Germany,Antibiotic,Amoxicillin,46-65,330,82.88,4678,678,0
2023-01-23,2023,1,23,Africa,Nigeria,Vitamin,Vitamin C,13-25,585,62.36,4469,111,0
2024-02-20,2024,2,20,Africa,Nigeria,Antipyretic,Paracetamol,13-25,386,24.32,4753,309,0
2022-08-02,2022,8,2,East Asia,China,Vitamin,Multivitamin,13-25,178,55.55,4881,167,0
2024-11-17,2024,11,17,Middle East,UAE,Cough_Cold,Cetirizine,13-25,271,73.02,4736,503,0
2025-07-13,2025,7,13,South America,Brazil,Antibiotic,Amoxicillin,0-12,980,50.46,3933,295,0
2022-11-14,2022,11,14,East Asia,Japan,Cough_Cold,Cetirizine,26-45,329,42.76,4782,61,0
2020-05-28,2020,5,28,Oceania,New Zealand,Chronic,Metformin,13-25,926,40.79,4231,384,1
2022-02-04,2022,2,4,Oceania,Australia,Chronic,Metformin,46-65,279,46.49,4523,642,0
2021-03-15,2021,3,15,Africa,Nigeria,Antibiotic,Amoxicillin,46-65,806,76.0,4154,674,1
